ten_quan,diem_trung_binh,dia_chi,gio_mo_cua,gia_ca,lat,lon,hinh_anh,diem_Không gian,diem_Vị trí,diem_Chất lượng,diem_Phục vụ,diem_Giá cả,thuc_don,url_goc
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,7.7,"38 Mạc Đĩnh Chi, P. Đa Kao, Quận 1, TP. HCM",Chưa mở cửa  10:00 - 22:00,8.000đ - 374.000đ,10.7869267,106.6972671,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu7vlumyyf8c4,8.3,7.9,7.8,7.4,7.3,"('Bánh Canh Giò Gân + 1 Pepsi (123.000đ) | Bánh Canh Thịt Bắp + 1 Pepsi (123.000đ) | Bánh Canh Thịt Nạc + 1 Pepsi (123.000đ) | Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi (427.000đ) | Bánh Tráng Thịt Bắp - 2 Người (371.000đ) | Bánh Tráng Thịt Bắp - 1 Người (235.000đ) | Bánh Tráng Thịt Bắp + Đùi (371.000đ) | Bánh Tráng Tai Heo + Thịt Bắp (371.000đ) | Bánh Tráng Tai Heo - 1 Người (235.000đ) | Bánh Tráng Thịt Bắp + Nạc (371.000đ) | Bánh Tráng Tai Heo - 2 Người (371.000đ) | Bánh Tráng Thịt Đùi - 1 Người (235.000đ) | Bánh Tráng Thịt Đùi - 2 Người (371.000đ) | Bánh Tráng Thịt Nạc - 2 Người (371.000đ) | Bánh Tráng Thịt Nạc - 1 Người (235.000đ) | Bánh Tráng Thịt Đùi + Thịt Nạc (371.000đ) | Bánh Tráng Tai Heo + Thịt Đùi (371.000đ)', [{'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Canh Giò Gân + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqdpe8wm4vec'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Canh Thịt Bắp + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqalo8oz622b'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Canh Thịt Nạc + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqcjve1nnx09'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi', 'gia': '427.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqfylub09b87'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Bắp - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxn0wtmevgkb6'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Bắp - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqx55zw4n8ux63'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Bắp + Đùi', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbm423z8hw2f'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Tai Heo + Thịt Bắp', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxxfrjycfc'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Tai Heo - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9fezlygqvk4c3'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Bắp + Nạc', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbb0j6mwn896'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Tai Heo - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff9s0n26bra3'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Đùi - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff19pdcoxwd2'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Đùi - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxnnnxfsfk457'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Nạc - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff90u0u9hj11'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Nạc - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff8d7lerfycd'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Thịt Đùi + Thịt Nạc', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxbsn83od0'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi', 'ten_mon': 'Bánh Tráng Tai Heo + Thịt Đùi', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxfrl6tf9384a'}])",https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi
Hoa Đông Quán - Bún Chả,6.5,"28/6A Tôn Thất Tùng, P. Bến Thành, Quận 1, TP. HCM",Đang mở cửa  06:00 - 23:00,25.000đ - 39.000đ,10.76961,106.68998,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwck4fno7d9518,7.4,6.5,6.4,6.3,5.8,"('', [])",https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,7.8,"166 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Chưa mở cửa  07:00 - 14:00 | 16:00 - 22:00,10.000đ - 45.000đ,10.768187,106.686917,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu0dj84te3d0e,8.0,8.0,7.8,7.8,7.5,"('', [])",https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam
Cô Tư Cà Mau - Hải Sản Sinh Thái,8.1,"219 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",Chưa mở cửa  00:01 - 01:00 | 11:00 - 23:59,50.000đ - 550.000đ,10.7952601,106.6892572,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfs8xrgga1lcf,8.5,8.5,8.0,8.0,7.5,"('', [])",https://www.foody.vn/ho-chi-minh/co-tu-ca-mau-hai-san-sinh-thai
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,6.8,"01 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",Chưa mở cửa  10:00 - 22:00,60.000đ - 110.000đ,10.791611,106.691183,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstpyv76wql581,7.3,7.2,6.8,6.4,6.3,"('Bánh Canh Thịt Nạc + 1 Pepsi (123.000đ) | Bánh Canh Thịt Bắp + 1 Pepsi (123.000đ) | Bánh Canh Giò Gân + 1 Pepsi (123.000đ) | Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi (427.000đ) | Bánh Tráng Thịt Bắp - 2 Người (371.000đ) | Bánh Tráng Thịt Bắp - 1 Người (235.000đ) | Bánh Tráng Thịt Bắp + Đùi (371.000đ) | Bánh Tráng Tai Heo + Thịt Bắp (371.000đ) | Bánh Tráng Tai Heo - 1 Người (235.000đ) | Bánh Tráng Thịt Bắp + Nạc (371.000đ) | Bánh Tráng Tai Heo - 2 Người (371.000đ) | Bánh Tráng Thịt Nạc - 1 Người (235.000đ) | Bánh Tráng Thịt Đùi - 2 Người (371.000đ) | Bánh Tráng Thịt Đùi - 1 Người (235.000đ) | Bánh Tráng Thịt Nạc - 2 Người (371.000đ) | Bánh Tráng Tai Heo + Thịt Đùi (371.000đ) | Bánh Tráng Thịt Đùi + Thịt Nạc (371.000đ)', [{'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Canh Thịt Nạc + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqcjve1nnx09'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Canh Thịt Bắp + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqalo8oz622b'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Canh Giò Gân + 1 Pepsi', 'gia': '123.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqdpe8wm4vec'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Bắp - 2 Người + 2 Pepsi', 'gia': '427.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mgbqfylub09b87'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Bắp - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxn0wtmevgkb6'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Bắp - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqx55zw4n8ux63'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Bắp + Đùi', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbm423z8hw2f'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Tai Heo + Thịt Bắp', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxxfrjycfc'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Tai Heo - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9fezlygqvk4c3'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Bắp + Nạc', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbb0j6mwn896'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Tai Heo - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff9s0n26bra3'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Nạc - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff8d7lerfycd'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Đùi - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxnnnxfsfk457'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Đùi - 1 Người', 'gia': '235.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff19pdcoxwd2'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Nạc - 2 Người', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134505-7ra0g-m9ff90u0u9hj11'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Tai Heo + Thịt Đùi', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxfrl6tf9384a'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau', 'ten_mon': 'Bánh Tráng Thịt Đùi + Thịt Nạc', 'gia': '371.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxbbxbsn83od0'}])",https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau
Bún Mắm Miền Tây - Trần Quang Khải,8.6,"78 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",Chưa mở cửa  17:00 - 23:59,10.000đ - 50.000đ,10.792297,106.6934,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu80stdbxqx27,10.0,10.0,10.0,8.0,5.0,"('Bún mắm đầy đủ (65.000đ) | Mực (10.000đ) | Tôm (10.000đ) | Chả cá (10.000đ) | Chả cua (10.000đ)', [{'url_goc': 'https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai', 'ten_mon': 'Bún mắm đầy đủ', 'gia': '65.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7ras8-m0vugncc638t2c'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai', 'ten_mon': 'Mực', 'gia': '10.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36ucs20s6118'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai', 'ten_mon': 'Tôm', 'gia': '10.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36ud8zc0jo4a'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai', 'ten_mon': 'Chả cá', 'gia': '10.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr36udrukejdab'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai', 'ten_mon': 'Chả cua', 'gia': '10.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqxy32twbtzt0b'}])",https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai
Cô Năm - Bánh Xèo Miền Tây,6.9,"391/3 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",Chưa mở cửa  14:00 - 22:00,20.000đ - 50.000đ,10.7596814,106.6888887,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwl3a2uricc4,7.6,7.1,6.9,6.6,6.0,"('Bánh xèo rau rừng(quán sẽ lấy rau rừng) (60.000đ) | Bánh khọt đậu xanh (40.000đ) | Bánh khọt thịt bằm (55.000đ) | Bánh xèo 0939288488 nếu lỗi món (60.000đ) | Bún heo thịt xào (40.000đ) | Bánh khọt (60.000đ) | Gỏi cuốn tôm thịt (12.000đ) | Chả giò (16.000đ) | Nui xào bò (50.000đ) | Miến Xào Tôm (60.000đ) | Hủ tiếu xào (50.000đ) | Mì xào bò (50.000đ) | Cơm xào bò (50.000đ) | Bún thịt heo xào chả giò (55.000đ) | Bánh tráng (10.000đ) | Bún Chả Giò (2 Chả Giò) (45.000đ) | Cơm Bò Lúc Lắc (55.000đ)', [{'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh xèo rau rừng(quán sẽ lấy rau rừng)', 'gia': '60.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzxlbj3flw22'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh khọt đậu xanh', 'gia': '40.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-m83dlk82v4oy8c'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh khọt thịt bằm', 'gia': '55.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-ma13zs5qntkedd'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh xèo 0939288488 nếu lỗi món', 'gia': '60.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7ra0g-m83dksa9r03o4c'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bún heo thịt xào', 'gia': '40.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s63sx539gba'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh khọt', 'gia': '60.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzybuu9g9l31'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Gỏi cuốn tôm thịt', 'gia': '12.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqvzyaydkyhle3'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Chả giò', 'gia': '16.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr79hn12n26c84'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Nui xào bò', 'gia': '50.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s57rhzkpl8e'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Miến Xào Tôm', 'gia': '60.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0gyaatr0k905'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Hủ tiếu xào', 'gia': '50.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s589j7s1wd2'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Mì xào bò', 'gia': '50.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqx4zykq8dl024'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Cơm xào bò', 'gia': '50.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr2s6pywmitg3e'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bún thịt heo xào chả giò', 'gia': '55.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0rhnulkwxwc6'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bánh tráng', 'gia': '10.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-820l4-mh0gh2ro1qff4a'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Bún Chả Giò (2 Chả Giò)', 'gia': '45.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0q46znnijd6d'}, {'url_goc': 'https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay', 'ten_mon': 'Cơm Bò Lúc Lắc', 'gia': '55.000đ', 'anh_mon': 'https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0gyaxau4lg47'}])",https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay
